group,time,s_MP,change,type,length,sum_change,area,surge_area,group,time,change,type,p_MP,p_buyCap,p_askCap,p_totalBidVol,p_totalAskVol,length,sum_change,area
49,1660311509673.0,28.7,0.0005927719080367378,surge,1,0.0005927719080367378,0.0005927719080367378,0.0005927719080367378,50.0,1660311555586.0,-3.4733979207501875e-05,precursor,28.71,7933639.25,1228231912.56,739903.17,254831.16,1.0,-3.4733979207501875e-05,-3.4733979207501875e-05
51,1660311607746.0,28.75,0.00484286575960251,surge,2,0.006371729621936528,0.012743459243873056,0.012743459243873056,52.0,1660311767040.0,0.000484992283672081,precursor,28.9,8025104.97,1227407245.19,742521.3,250597.48,5.0,-0.0037018281403006226,-0.018509140701503113
53,1660312270691.0,28.85,0.0025037058001413206,surge,1,0.0025037058001413206,0.0025037058001413206,0.0025037058001413206,54.0,1660312427372.0,-0.002841484813516526,precursor,28.8,7966440.37,1229594865.0,740323.79,326048.76,4.0,-0.008992088155827638,-0.03596835262331055
55,1660312986701.0,28.66,0.0029034078780528104,surge,1,0.0029034078780528104,0.0029034078780528104,0.0029034078780528104,56.0,1660313148761.0,0.0001392876566818191,precursor,28.66,7870726.99,1229551046.61,737731.94,325141.3,1.0,0.0001392876566818191,0.0001392876566818191
57,1660313376724.0,28.77,0.004429774345566684,surge,1,0.004429774345566684,0.004429774345566684,0.004429774345566684,58.0,1660313618626.0,3.519275009921108e-05,precursor,28.84,7967271.84,1229694339.89,740466.86,326687.61,1.0,3.519275009921108e-05,3.519275009921108e-05
59,1660313956021.0,28.86,0.004582444936840746,surge,3,0.008455116520541827,0.02536534956162548,0.02536534956162548,60.0,1660315263604.0,-0.003817179820241823,precursor,28.93,7970892.19,1229723661.26,739925.75,327022.09,5.0,-0.005266614771015721,-0.026333073855078604
61,1660316960186.0,28.87,0.001696700817200858,surge,2,0.00639610046179444,0.01279220092358888,0.01279220092358888,62.0,1660318192721.0,-2.9776687372395914e-05,precursor,29.12,8091778.63,1229844805.79,743493.9,330417.87,4.0,-0.001988041617852643,-0.007952166471410572
63,1660319796363.0,29.06,0.0005859214488284859,surge,2,0.0018264685981842386,0.0036529371963684772,0.0036529371963684772,64.0,1660320691056.0,0.00017310791697769946,precursor,29.03,7991627.83,1229945864.24,740316.61,334124.54,11.0,-0.008686131790829244,-0.09554744969912168
65,1660328624007.0,28.82,0.002185957952967432,surge,4,0.013893271229247318,0.05557308491698927,0.05557308491698927,66.0,1660333519487.0,-0.0024291285081806226,precursor,29.19,8131799.32,1229338410.35,733901.24,313173.92,3.0,-0.0047597851411797735,-0.01427935542353932
67,1660337279148.0,29.13,0.004091997778711898,surge,1,0.004091997778711898,0.004091997778711898,0.004091997778711898,68.0,1660339089974.0,-0.003181412754839852,precursor,29.18,8423950.71,1229416090.76,741504.46,314068.8,2.0,-0.005034265720690556,-0.010068531441381113
69,1660342362167.0,29.09,0.0015141563105693701,surge,1,0.0015141563105693701,0.0015141563105693701,0.0015141563105693701,70.0,1660343264646.0,-6.838608899367715e-05,precursor,29.11,8498424.12,1229514910.54,744687.14,317715.25,1.0,-6.838608899367715e-05,-6.838608899367715e-05
