,precursor_buy_cap_pct_change,precursor_ask_cap_pct_change,precursor_bid_vol_pct_change,precursor_ask_vol_pct_change,change.1,sum_change.1,Cluster
4871,0.001965104,1.8918425e-05,0.0005831644,1.9405323e-05,-0.0006792453,-0.0014332203,Cluster 0
4872,-0.010421017,-0.0019341093,-0.003335697,-0.00566616,-0.0006791314,-0.0006791314,Cluster 0
4873,-0.012546354,-0.0018960097,-0.0039630886,0.0014166704,-0.0006791883,-0.0058954675,Cluster 0
4874,0.0062215966,-0.0027357924,0.0018750288,-0.00826331,0.00030406596,9.787607e-07,Cluster 0
4875,0.013395222,0.00026941465,0.0040405085,0.00072446105,3.437449e-07,-0.00037787107,Cluster 0
4876,-0.01711405,0.00096903864,-0.005477721,0.0028920588,0.00030262905,-0.0014357307,Cluster 0
4877,0.012688648,-0.0010120885,0.0038858433,-0.003132251,-0.0009833016,-0.0018155435,Cluster 0
4878,-0.026398934,0.0014101524,-0.00834315,0.004427457,-0.0012803999,-0.0012803999,Cluster 0
4879,-0.027683632,-0.00079030934,-0.008307559,-0.0019174762,-0.0052761463,-0.0052761463,Cluster 0
4880,-0.010336458,0.003033966,-0.0033580808,0.009360866,-0.0021906758,-0.003249733,Cluster 0
4881,-0.0100788595,0.0013656016,-0.003231556,0.0042066937,-0.0017400745,-0.0011329224,Cluster 0
4882,0.015767125,7.2873896e-05,0.0053196996,0.0005839756,-0.0026271204,-0.0057892012,Cluster 0
4883,-0.018393764,0.0023199655,-0.006305285,0.006789336,0.00045651995,0.00045651995,Cluster 0
4884,-0.007306105,0.00046573664,-0.00243442,0.0013254398,-0.0023298115,-0.002932051,Cluster 0
4885,-0.0017926273,0.0014759628,-0.00017715996,0.0047266865,-0.0047431844,-0.009739984,Cluster 0
4886,-0.004256278,8.129961e-05,-0.0017648567,-5.020532e-06,4.669333e-06,4.669333e-06,Cluster 0
4887,-0.0007950033,0.0016355586,-0.00055266573,0.004852355,-0.00075751817,-0.00075751817,Cluster 0
4888,0.00016758965,0.00064531306,-0.00037156994,0.0023640064,7.592652e-05,-0.0025623983,Cluster 0
4889,-0.0048945104,0.0017926306,-0.0021407383,0.0049498375,0.0003050955,-0.0017916545,Cluster 0
4890,-0.034076415,0.00027924706,-0.011024032,0.0007251624,-0.0014105688,-0.017345292,Cluster 0
4891,0.04069438,-0.001533088,0.012472987,-0.0047922125,-0.00030097732,-0.00030074434,Cluster 0
4892,0.003645411,0.0011276737,0.0014390127,0.0037857124,-0.0006092346,-0.007632692,Cluster 0
4893,0.0017900337,0.002404265,0.0006381241,0.0074424464,-0.0013730563,-0.0020596671,Cluster 0
4894,-0.021753402,-0.0015728208,-0.007179805,-0.004858421,-0.002741584,-0.03503708,Cluster 0
4895,0.008308408,-0.000923132,0.003039851,-0.0029779046,-0.004481265,-0.006435455,Cluster 0
4896,-0.026535746,0.00033078433,-0.0092991395,0.0012908408,-0.0014193133,-0.0042646653,Cluster 0
4897,-0.8240806,-0.99094826,-0.5526588,-0.07412432,-0.21843964,-0.22309227,Cluster 0
4898,-0.009295065,0.00021554498,-0.0029929015,0.0007581252,0.00015822785,-0.0011853953,Cluster 0
4899,-0.0025231864,-0.00049843494,-0.00084798224,-0.0015367483,0.0002372162,0.0002372162,Cluster 0
4900,0.004008166,-0.001224864,0.0013160419,-0.004067887,0.00023653053,0.00023653053,Cluster 0
4901,0.005437632,0.000637255,0.0015634599,0.0018315184,-0.0010999488,-0.0043296646,Cluster 0
4902,-0.0043474664,0.0009262806,-0.0017644019,0.0016994473,-0.0022028645,-0.0070253164,Cluster 0
4903,-0.034803085,0.000767924,-0.011805317,0.0024078363,-0.002047371,-0.006308782,Cluster 0
4904,-0.013205652,0.00091755204,-0.0045305863,0.002803735,0.00047593733,-0.001263817,Cluster 0
4905,-0.017074717,-0.0019832344,-0.0054546846,-0.005484511,-0.0014738312,-0.0014738312,Cluster 0
4906,0.0065867743,0.0009889669,0.0024785511,0.0033879264,-0.004661638,-0.008579226,Cluster 0
4907,-0.003732597,0.0003230548,-0.0011563175,0.0011525027,-0.002381721,-0.04895568,Cluster 0
4908,0.01095952,0.0012316935,0.0018793301,0.00292438,-0.00077030784,-0.05543829,Cluster 0
4909,-0.0059155915,0.0061814766,-0.0019513324,0.01936957,1.2607637e-07,-0.00079320825,Cluster 0
4910,-0.011395483,2.149779e-05,-0.0037780947,-1.0963735e-05,-0.0006345429,-0.0010311159,Cluster 0
4911,-0.010918395,-0.002101166,-0.0035472792,-0.0064782915,-0.00095112296,-0.002379254,Cluster 0
4912,0.010916801,-0.00069516106,0.003619944,-0.0019952883,-0.002053214,-0.002053214,Cluster 0
4913,-0.0037986492,0.0011019442,-0.0014210605,0.0032137572,-0.00023515601,-0.0007077756,Cluster 0
4914,0.0018085302,-0.00046236944,0.000526034,-0.0013830404,-0.0011017438,-0.0009423397,Cluster 0
4915,-0.0113201,0.00087365863,-0.0037983945,0.002562451,-0.0020448894,-0.004721236,Cluster 0
4916,-0.016850285,-0.00039184248,-0.005355147,-0.0010923913,-0.0023699186,-0.0028444766,Cluster 0
4917,0.0008998229,0.0005505514,8.811847e-05,0.0015256468,-0.001342997,-0.004828466,Cluster 0
4918,0.013695452,0.0020351831,0.004135011,0.0063700406,-0.000712464,-0.01744657,Cluster 0
4919,-0.012558651,0.0013372801,-0.004055361,0.0042486456,0.0004770737,0.00071617914,Cluster 0
4920,-0.019788083,0.00031992284,-0.0059575546,0.0014211319,-0.005076791,-0.007946781,Cluster 0
4921,0.024193594,0.004375514,0.0075765643,0.0128353555,-0.00047631675,-0.0055596,Cluster 0
4922,0.0039416067,0.00074815727,0.000567613,0.0018147235,-0.00070956233,-0.00070956233,Cluster 0
4923,-0.020211829,-0.0019954918,-0.006691983,-0.0061783274,-0.0013411238,-0.0013411238,Cluster 0
4924,0.031537388,-7.025024e-05,0.010964999,0.00023561926,-0.002053465,-0.002053465,Cluster 0
4925,-0.015295967,-0.0008370171,-0.0056874943,-0.003268472,-7.060049e-05,-7.060049e-05,Cluster 0
4926,-0.011143992,0.002659699,-0.003960345,0.008077206,-0.001651933,-0.0011786846,Cluster 0
4927,-0.010745413,-0.00043027868,-0.0035177046,-0.0013183742,0.0,0.0,Cluster 0
4928,-0.005424092,4.476529e-05,-0.0017891157,0.00011019334,-0.00023628233,0.00015822588,Cluster 0
4929,-0.0070051854,0.0019073685,-0.002297047,0.0058934395,-0.00047244094,-0.0019689377,Cluster 0
4930,-0.009720529,0.00040019536,-0.0031955475,0.0012479366,-0.0008668243,-0.0024446093,Cluster 0
4931,0.0020811441,-0.0006186589,0.0005236869,-0.0020422046,7.923753e-05,0.0002373393,Cluster 0
4932,0.019280965,-0.0011565185,0.006204277,-0.0036332316,3.102449e-07,-0.0014960623,Cluster 0
4933,-0.006429585,0.0010039713,-0.0022208232,0.002976683,0.00031558162,-0.006872434,Cluster 0
4934,0.008442508,0.0008728542,0.0026470681,0.0029524146,7.936478e-05,7.9553e-05,Cluster 0
4935,-0.011269357,-0.001896315,-0.0038539565,-0.006573499,-0.0016554677,-0.0016554677,Cluster 0
4936,0.021361185,-0.0008158509,0.0068828436,-0.0028875466,8.728074e-07,8.728074e-07,Cluster 0
4937,0.008108912,-0.0010030953,0.0023892964,-0.0036094226,0.00039351484,-0.0006269517,Cluster 0
4938,0.008355289,4.8012764e-05,0.0025280057,6.20115e-05,0.0004714511,0.00031446523,Cluster 0
4939,0.00033751258,0.003192636,-0.00029365817,0.007514285,1.309368e-06,-0.0013856164,Cluster 0
4940,-0.004075119,0.00068728713,-0.0015446163,0.0022011849,-0.0094687,-0.018148653,Cluster 0
4941,-0.024196615,0.0013273687,-0.068051204,0.0039549954,-0.0026250617,-0.011786394,Cluster 0
4942,-0.025347576,0.0012381723,-0.0074803573,0.0072414246,-0.00034744164,-0.003177,Cluster 0
4943,-0.07790964,-0.0016049619,-0.031061253,-0.0052630263,-0.00028810813,-0.00028810813,Cluster 0
4944,-0.012069223,0.0018539819,-0.0035619263,0.00631986,-0.006384807,-0.015159777,Cluster 0
4945,0.009736924,-0.002613727,0.003280853,-0.008238688,-0.00066090084,-0.1523538,Cluster 0
4946,-0.013634164,0.0005046904,-0.0044186637,0.0016126565,-0.0018974909,-0.0018974909,Cluster 0
4947,-0.0075195353,-0.002047126,-0.002475966,-0.0066938126,-0.00043827613,-0.0009489562,Cluster 0
4948,-0.021067854,0.00077069405,-0.006956218,0.0024643324,-0.000583569,-0.000583569,Cluster 0
4949,-0.011490274,-0.004021883,-0.003818524,-0.013076331,-0.00021802288,-0.00021802288,Cluster 0
4950,0.003424948,-8.100629e-05,0.0013168328,5.202297e-06,-0.0010901158,-0.0010901158,Cluster 0
4951,-0.011446744,0.002110865,-0.0037684678,0.006794468,-0.00021802288,-0.00021802288,Cluster 0
4952,-0.03144796,-0.00036286504,-0.009350274,-0.00064468867,-0.0021562646,-0.0021562646,Cluster 0
4953,-0.008781782,0.00056093076,-0.0023584068,0.0019230051,-0.002446511,-0.004027834,Cluster 0
4954,-0.0010907167,-0.0005670865,-0.00031316897,-0.0018161848,-0.002810111,-0.0041820044,Cluster 0
4955,-0.0017751022,0.0035064437,-0.0005072887,0.011550666,-0.0017954633,-0.0017954633,Cluster 0
4956,0.0053679235,-0.00024749924,0.0014810512,-0.0006438992,-0.0008510659,-0.0025551077,Cluster 0
4957,-0.012795995,-0.0009077163,-0.003911424,0.0026292938,-0.004360107,-0.019349184,Cluster 0
4958,0.01171911,0.0014193102,0.0036000398,0.0047366526,-7.076651e-05,-0.00035205795,Cluster 0
