mp,tav,tbv,bc,ac,time
10.88,259554.671,25226.788,273778.637,12762333.525,1692541818
10.88,259558.34,24855.335,269749.689,12762370.947,1692541821
10.88,260190.099,23100.744,250672.977,12769218.293,1692541824
10.88,260192.043,23255.235,252348.922,12769235.746,1692541827
10.88,260192.043,23255.235,252348.922,12769235.746,1692541830
10.88,260192.043,23255.214,252349.384,12769235.746,1692541833
10.88,260192.043,23255.214,252349.384,12769235.746,1692541836
10.88,259914.654,24065.144,261154.186,12766222.577,1692541839
