,group,time,s_MP,change,type,length,sum_change,area,surge_area,group.1,time.1,change.1,type.1,p_MP,precursor_buy_cap_pct_change,precursor_ask_cap_pct_change,precursor_bid_vol_pct_change,precursor_ask_vol_pct_change,length.1,sum_change.1,area.1,Cluster
11,23,1660242900000.0,28.77,0.0038665063,surge,1,0.0038665063,0.0038665063,0.0038665063,24.0,1660244500000.0,-0.00020506448,precursor,28.86,-0.012130057,6.6566274e-05,-0.0046068113,0.0076191123,1.0,-0.00020506448,-0.00020506448,Cluster 2
12,25,1660246600000.0,28.88,0.0023612003,surge,1,0.0023612003,0.0023612003,0.0023612003,26.0,1660247900000.0,-0.0018328087,precursor,28.87,0.22811477,0.0020589218,0.068068184,0.3618574,1.0,-0.0018328087,-0.0018328087,Cluster 2
13,27,1660249400000.0,28.78,0.0021871743,surge,2,0.003056304,0.006112608,0.006112608,28.0,1660254300000.0,-0.0017246291,precursor,28.81,0.024574101,-1.414317e-05,0.009779598,0.0039797286,1.0,-0.0017246291,-0.0017246291,Cluster 2
14,29,1660255600000.0,29.13,0.0067374143,surge,1,0.0067374143,0.0067374143,0.0067374143,30.0,1660257000000.0,-0.0024058986,precursor,28.97,0.00018536425,0.00023133671,0.0010847523,0.033173643,4.0,-0.02331175,-0.093247,Cluster 2
15,31,1660264900000.0,28.59,0.00865907,surge,2,0.012956149,0.025912298,0.025912298,32.0,1660268800000.0,-0.0026076382,precursor,28.71,0.03717693,1.6139597e-06,0.012804961,-1.9982223e-05,1.0,-0.0026076382,-0.0026076382,Cluster 2
16,33,1660271200000.0,28.76,0.012938474,surge,1,0.012938474,0.012938474,0.012938474,34.0,1660273800000.0,-0.000797816,precursor,29.15,0.0030495827,5.8270736e-05,-0.0020847623,0.0010185605,3.0,-0.00592949,-0.01778847,Cluster 2
17,35,1660281700000.0,28.95,0.00107318,surge,1,0.00107318,0.00107318,0.00107318,36.0,1660284000000.0,-0.0005879722,precursor,28.95,0.0009408611,2.8898807e-05,0.0006466893,0.004133993,2.0,-0.0050460286,-0.010092057,Cluster 2
18,37,1660288000000.0,28.75,0.0008035011,surge,3,0.00843213,0.025296392,0.025296392,38.0,1660298700000.0,-0.006916549,precursor,28.93,-0.007704847,-2.9323923e-05,-0.00306326,-0.0042616706,2.0,-0.017880889,-0.035761777,Cluster 2
19,39,1660305400000.0,28.43,0.0030392045,surge,1,0.0030392045,0.0030392045,0.0030392045,40.0,1660310300000.0,-0.5305858,precursor,28.72,0.52707416,0.0009449753,0.1344102,0.18965651,1.0,-0.5305858,-0.5305858,Cluster 2
20,41,1660311200000.0,28.71,0.8677857,surge,1,0.8677857,0.8677857,0.8677857,42.0,1660311200000.0,-0.0015690622,precursor,28.67,0.000804252,2.4384952e-05,0.000314455,0.0041529536,2.0,-0.0014983398,-0.0029966796,Cluster 2
21,43,1660311200000.0,28.69,0.0013972825,surge,1,0.0013972825,0.0013972825,0.0013972825,44.0,1660311300000.0,-0.0012201928,precursor,28.65,-0.003348098,2.1572898e-05,-0.0012517438,0.0036600765,2.0,-0.0013596747,-0.0027193495,Cluster 2
