mp,timeStamp,mean,skew
10.12,1692889761451,3610.128082397792,-3600.008082397792
10.12,1692889764436,3574.918606721471,-3564.798606721471
10.11,1692889767578,3580.6723409760275,-3570.5623409760274
10.12,1692889773525,3565.9393643946814,-3555.8193643946815
10.12,1692889776508,3547.6592340795382,-3537.5392340795383
10.11,1692889782533,3541.8765439561644,-3531.7665439561642
10.12,1692889785559,3528.759177657289,-3518.639177657289
10.12,1692889788537,3509.5130996979874,-3499.3930996979875
10.12,1692889791559,3495.1855159711595,-3485.0655159711596
10.12,1692889803661,3467.5805149981857,-3457.4605149981858
10.12,1692889806807,3456.231796469162,-3446.111796469162
10.11,1692889812746,3467.6610479911437,-3457.5510479911436
10.11,1692889821844,3478.0814288979245,-3467.9714288979244
10.11,1692889824864,3480.647211307755,-3470.5372113077547
10.11,1692889827883,3482.904266736184,-3472.794266736184
10.12,1692889846095,3456.466544910616,-3446.346544910616
10.12,1692889858303,3430.804723871833,-3420.6847238718333
10.12,1692889864431,3427.902320899425,-3417.782320899425
10.11,1692889870522,3433.816705706061,-3423.706705706061
10.11,1692889879819,3441.482027228089,-3431.372027228089
10.11,1692889882742,3443.8230257492814,-3433.7130257492813
10.11,1692889885789,3446.0656436271593,-3435.955643627159
10.11,1692889895224,3449.34908805096,-3439.2390880509597
10.11,1692889898066,3449.7912424131505,-3439.6812424131504
10.11,1692889904188,3450.9962368056913,-3440.886236805691
10.1,1692889916513,3457.7511939940937,-3447.651193994094
10.1,1692889919936,3454.6684441633,-3444.5684441633002
10.1,1692889922587,3451.786232504325,-3441.6862325043253
10.1,1692889934946,3444.251618861753,-3434.151618861753
10.1,1692889937994,3442.502701049139,-3432.402701049139
10.1,1692889941809,3440.9767389629087,-3430.876738962909
10.11,1692889944874,3442.2835948759543,-3432.173594875954
10.11,1692889948128,3443.2229181504135,-3433.1129181504134
10.11,1692889951281,3444.827658689442,-3434.717658689442
10.1,1692889954461,3442.912056234966,-3432.812056234966
10.11,1692889958882,3444.4857734010875,-3434.3757734010874
10.11,1692889962134,3445.2770834802304,-3435.1670834802303
10.11,1692889965469,3446.6527921675265,-3436.5427921675264
10.11,1692889978231,3451.391567495679,-3441.2815674956787
10.11,1692889981992,3452.3621321955093,-3442.252132195509
10.11,1692889986442,3453.960768070461,-3443.850768070461
10.11,1692889990419,3455.8316211551655,-3445.7216211551654
10.11,1692889994386,3457.498464505283,-3447.388464505283
10.11,1692889998569,3458.742272623782,-3448.632272623782
10.11,1692890005851,3461.527232608792,-3451.417232608792
10.11,1692890010209,3463.1404863122734,-3453.0304863122733
10.11,1692890015045,3464.7339250785094,-3454.6239250785093
10.1,1692890019560,3464.74143363934,-3454.64143363934
10.1,1692890030376,3469.5397475567343,-3459.4397475567343
10.09,1692890038587,3461.5073238758655,-3451.4173238758653
10.1,1692890050080,3452.9597642405456,-3442.8597642405457
10.1,1692890055586,3452.282731567294,-3442.182731567294
10.1,1692890061197,3451.5236763133717,-3441.4236763133717
10.11,1692890070020,3446.0038483567537,-3435.8938483567536
10.11,1692890075926,3443.061627747369,-3432.951627747369
10.11,1692890088248,3434.321044364169,-3424.211044364169
10.11,1692890094609,3435.699312404657,-3425.589312404657
10.11,1692890101040,3437.053756486048,-3426.9437564860477
10.11,1692890110761,3438.173746020797,-3428.0637460207968
10.11,1692890117455,3440.8596967241488,-3430.7496967241486
10.12,1692890124367,3439.644537987588,-3429.5245379875882
10.12,1692890134420,3438.872160058251,-3428.7521600582513
10.12,1692890144771,3437.2091290504495,-3427.0891290504496
10.12,1692890152227,3441.1264969095846,-3431.0064969095847
10.12,1692890165980,3452.2580644636237,-3442.138064463624
10.13,1692890180105,3461.5624099858073,-3451.432409985807
10.13,1692890188722,3464.3052727226923,-3454.175272722692
10.13,1692890200289,3465.207190748458,-3455.0771907484577
10.13,1692890208876,3468.659924354142,-3458.5299243541417
10.12,1692890220740,3466.66055025396,-3456.54055025396
10.12,1692890229753,3465.427050130658,-3455.307050130658
10.12,1692890242014,3470.1115247228527,-3459.991524722853
10.11,1692890251383,3468.2611564861854,-3458.1511564861853
10.11,1692890260840,3470.336571741294,-3460.226571741294
10.1,1692890276871,3465.716487034741,-3455.616487034741
10.1,1692890299790,3462.2828954541797,-3452.1828954541797
10.1,1692890323658,3459.4332913482185,-3449.3332913482186
10.1,1692890335614,3459.0169303290604,-3448.9169303290605
10.11,1692890347624,3460.8105481772823,-3450.700548177282
10.12,1692890369941,3463.292907736554,-3453.172907736554
10.12,1692890386105,3462.4896658857174,-3452.3696658857175
10.12,1692890399374,3462.240772889078,-3452.120772889078
10.12,1692890412620,3461.6188208213707,-3451.498820821371
10.12,1692890429312,3463.137572038393,-3453.017572038393
10.12,1692890443077,3463.2203209931417,-3453.100320993142
10.12,1692890456978,3463.147376304413,-3453.027376304413
10.12,1692890471037,3462.846361525673,-3452.726361525673
10.12,1692890485172,3463.045896654443,-3452.925896654443
10.12,1692890501396,3462.949049321335,-3452.8290493213353
10.12,1692890520821,3462.8604391639133,-3452.7404391639134
10.11,1692890545085,3466.8077012348376,-3456.6977012348375
10.11,1692890563751,3468.078592391964,-3457.9685923919637
10.11,1692890579553,3469.6324991214815,-3459.5224991214814
10.11,1692890595384,3472.001145219895,-3461.891145219895
10.11,1692890614663,3475.6754184872907,-3465.5654184872906
10.11,1692890631366,3474.420789288715,-3464.3107892887147
10.11,1692890647893,3476.3828822707337,-3466.2728822707336
10.1,1692890667903,3476.572895499816,-3466.472895499816
10.12,1692890688420,3476.0372776663726,-3465.9172776663727
10.1,1692890712557,3479.3825176606774,-3469.2825176606775
10.1,1692890730717,3481.167136681742,-3471.067136681742
10.1,1692890749295,3482.581317142426,-3472.481317142426
10.1,1692890767852,3484.523362772911,-3474.423362772911
10.1,1692890786450,3483.5145515978083,-3473.4145515978084
10.08,1692890824917,3477.236541660736,-3467.156541660736
10.1,1692890858400,3487.487068394081,-3477.387068394081
10.1,1692890889842,3487.2094967404555,-3477.1094967404556
10.09,1692890912500,3486.1722635408278,-3476.0822635408276
10.09,1692890938445,3484.3322527155856,-3474.2422527155854
10.09,1692890961716,3482.566341854748,-3472.4763418547477
10.09,1692890986341,3483.944154912387,-3473.854154912387
10.09,1692891010360,3484.9045450104177,-3474.8145450104175
10.1,1692891033910,3484.5239998780867,-3474.4239998780868
10.08,1692891057673,3483.077015650316,-3472.997015650316
10.09,1692891081480,3484.0732696337686,-3473.9832696337685
10.09,1692891105505,3484.693723193506,-3474.6037231935056
10.08,1692891132855,3483.1386580992566,-3473.0586580992567
10.08,1692891157437,3482.5847154128296,-3472.5047154128297
10.1,1692891197049,3486.078131331023,-3475.978131331023
10.1,1692891235596,3494.3571943426687,-3484.2571943426688
10.09,1692891262608,3495.4634908027074,-3485.3734908027072
10.09,1692891299625,3488.4884263190743,-3478.398426319074
10.1,1692891331677,3487.961426205476,-3477.861426205476
10.09,1692891363525,3487.639183020959,-3477.549183020959
10.09,1692891392482,3487.1752677944896,-3477.0852677944895
10.09,1692891421520,3486.720130339713,-3476.6301303397127
10.08,1692891454167,3482.7199999051522,-3472.6399999051523
10.08,1692891483963,3480.5811897575218,-3470.501189757522
