,precursor_buy_cap_pct_change,precursor_ask_cap_pct_change,precursor_bid_vol_pct_change,precursor_ask_vol_pct_change,sum_change,length,surge_targets_met_pct,label,Cluster
3700,0.0064545454647557,0.0005057685103136,0.0047244756377857,0.0025768282196136,-0.0040770243569722,2,0.1200480192076805,5,1
3701,-0.0186780190188984,-0.0009441268329654,-0.0089026871831527,-0.0050212501803721,0.0004825037314653,2,-0.0600600600600481,4,1
3702,-0.0001791732485271,-0.000204508166648,0.0006554819836941,-0.0010345577089446,-0.0025587803653968,3,0.0,4,1
3703,0.0118458066932339,0.0024292539637256,0.0052960131757596,0.0126272146361315,-0.0005925778863355,3,0.1192605843768609,5,1
3704,-0.0339631992316005,-0.0004753788070989,-0.0133430887789793,-0.0001074635744875,-0.0140032233079347,7,-0.1182033096926898,4,9
3705,-0.4100689116242842,-0.0126175188110355,-0.1967502487692096,-0.0664921186381783,-0.0027895651609754,2,0.0593824228028596,5,1
3706,-0.017260200063134,-0.0004402566768224,-0.0083481130560526,-0.0016383985892308,-0.0018975838114358,2,0.238095238095233,6,1
3707,0.0152627254625135,0.0004353553092586,0.0081926714883986,0.0021975584982776,-0.0009923775526601,1,-0.0583430571762051,4,1
3708,0.0057213278516516,-0.0004198004056616,0.0033221078053518,-0.0017598842478584,-0.0005182968309401,1,-0.3456221198156609,3,1
3709,-0.144095341644962,-0.0082885952050092,-0.0660485645544589,-0.0425837493097301,-0.0038918641103484,2,0.3460207612456674,7,1
3710,0.0223267785823089,-0.0103313011492313,0.0099009279816064,-0.0537204763769773,-0.0410780058079589,2,0.4605641911341295,7,1
3711,0.0002778540964621,7.835639448505738e-06,0.0003420895207255,8.175634350127137e-05,5.783617002894647e-05,4,-0.0576036866359332,4,1
3712,0.0379867080530424,-0.0004026178489775,0.01795394941463,-0.0015363132970185,-0.0025317996254883,15,0.0576036866359537,5,6
3713,-0.0018745360878785,0.0004552786540057,-0.0014701305085947,0.0020108286559117,-0.0002859985147217,1,0.2306805074971115,6,1
3714,-0.1058784858372007,0.0011941072634655,-0.0491256049930576,0.0060557550128206,-0.0052919160061629,6,0.1150747986190999,5,9
3715,-0.3102310724775493,-0.0108472576207527,-0.1443416707512985,-0.0576295920283743,-0.0019045783605235,2,0.1735106998264959,6,1
3716,-0.0018618287178504,0.000535015423047,0.0006938585318727,0.0032673096372337,-0.004782810565397,2,-0.4600345025877047,3,1
3717,-0.0010468264746615,0.0003529988676895,0.0009798373266924,0.0032348273774003,-0.0016853532799791,1,-0.5617977528089967,3,1
3718,0.0007855906146467,-0.0007140827324951,-0.0005862670681086,-0.0033592717097131,-0.0012969821903272,1,-0.0564015792442276,4,1
