mp,tav,tbv,bc,ac,time
10.31,272133.233,24068.767,247474.357,12832565.354,1693251741
10.31,273192.616,22818.914,234589.651,12843462.915,1693251745
10.31,272428.228,22757.355,233955.651,12835582.159,1693251746
10.31,272476.688,22752.129,233900.53,12836082.424,1693251749
10.31,273198.299,22758.481,233967.249,12843522.318,1693251752
10.31,272512.596,23015.198,236520.611,12836396.278,1693251755
10.31,272512.596,16133.622,165797.776,12836262.088,1693251758
10.31,272499.318,16522.155,169785.951,12836115.722,1693251761
10.31,272499.318,16440.799,168949.611,12836115.656,1693251764
10.31,272499.318,16440.799,168949.611,12836115.463,1693251767
10.31,273971.874,16751.826,172150.493,12851294.985,1693251770
10.3,272657.052,17041.024,175113.815,12837645.399,1693251774
10.3,272253.652,17041.01,175111.569,12833495.652,1693251776
10.3,271267.435,17129.95,176024.215,12823336.258,1693251780
10.3,271267.435,17154.303,176274.564,12823336.258,1693251782
10.3,271272.367,18114.23,186160.282,12823399.701,1693251785
10.3,271119.582,17392.901,178740.884,12821822.71,1693251788
10.3,270913.096,17393.281,178764.571,12819602.798,1693251791
10.3,270913.096,17393.401,178764.989,12819602.798,1693251794
10.31,272622.49,17580.307,180730.457,12837338.308,1693251797
10.31,272709.419,18252.445,187653.698,12838256.518,1693251800
10.31,272204.635,18252.43,187655.63,12833053.352,1693251803
10.31,271949.983,18252.43,187655.781,12830428.402,1693251807
10.31,272349.606,18747.69,192760.094,12834561.877,1693251809
10.31,272794.031,18289.389,188038.235,12839138.242,1693251812
10.31,273319.779,18170.538,186813.073,12844550.068,1693251815
10.31,272851.999,17691.109,181883.301,12839715.148,1693251818
10.31,272385.53,17807.717,183141.621,12834911.176,1693251822
10.31,272060.124,18207.717,187262.979,12831562.389,1693251825
10.31,272867.789,17660.781,181609.135,12839881.15,1693251828
10.31,270620.457,18480.986,190086.253,12816735.423,1693251830
10.31,271078.835,19036.024,195793.271,12821475.503,1693251833
10.31,271762.709,18960.477,194997.829,12828538.966,1693251837
10.31,271688.06,19596.67,201537.025,12827748.882,1693251840
10.31,271323.233,19746.67,203083.534,12823988.697,1693251842
10.31,271323.233,19746.67,203083.534,12823988.697,1693251845
10.31,271323.233,19746.67,203083.534,12823988.697,1693251849
10.31,272055.666,17965.242,184746.975,12831502.933,1693251852
10.31,273232.508,17112.098,175984.455,12843625.312,1693251855
10.31,271811.319,18288.75,188100.112,12829013.061,1693251858
10.31,270235.956,17080.198,175671.601,12812769.713,1693251860
10.31,270657.661,18996.186,195369.058,12817143.398,1693251863
10.32,271465.551,19004.661,195459.023,12825592.122,1693251867
10.31,270821.725,19004.661,195459.023,12818947.776,1693251870
10.32,270652.322,18877.493,194155.884,12817199.87,1693251873
10.32,270652.322,18876.16,194153.706,12817201.258,1693251876
10.32,271039.96,18876.16,194153.706,12821205.559,1693251879
10.32,271039.96,18876.16,194172.675,12821205.559,1693251882
10.32,270663.771,18225.77,187484.912,12817324.498,1693251885
10.31,270750.875,17099.731,175879.173,12818212.186,1693251888
10.31,270741.659,18467.616,189953.963,12818112.491,1693251891
10.31,270741.659,18467.616,189953.963,12818112.491,1693251894
10.31,270844.804,18493.641,190222.395,12819175.445,1693251897
10.31,270844.804,18569.188,190998.867,12819175.445,1693251900
10.32,270919.402,17520.866,180238.537,12819956.847,1693251903
10.31,271066.954,17585.587,180903.097,12821463.388,1693251905
10.31,271106.168,17666.103,181730.801,12821868.077,1693251909
10.31,271116.015,18802.334,193434.784,12821969.924,1693251912
10.31,271116.015,18802.334,193434.784,12821969.924,1693251915
10.32,271418.852,18608.93,191449.542,12825119.938,1693251918
